AcresBurned,AdminUnit,ArchiveYear,Counties,Extinguished,Fatalities,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started,WaterTenders,fire_duration,AdminUnitCleaned
125.0,CAL FIRE Sonoma-Lake-Napa Unit,2013,Sonoma,2013-05-03 06:15:00+00:00,,38.638828,-122.655616,True,Yellow Fire,249.0,2013-05-01 02:01:00+00:00,5.0,2.176388888888889,sonomalakenapa
124.0,CAL FIRE Sanoma-Lake-Napa Unit,2013,Solano,2013-06-18 22:30:00+00:00,,38.08744,-122.13802,False,California Fire,,2013-06-18 15:18:00+00:00,,0.3,sanomalakenapa
124.0,CAL FIRE Madera-Mariposa-Merced Unit,2013,Merced,2013-06-05 08:30:00+00:00,,37.03776,-121.006939,False,152 Fire,,2013-06-04 15:42:00+00:00,,0.7,maderamariposamerced
124.0,CAL FIRE/Riverside County Fire,2013,Riverside,2013-05-25 23:00:00+00:00,,33.963591,-117.187934,False,Smiley Fire,,2013-05-25 14:59:00+00:00,,0.33402777777777776,riverside
120.0,CAL FIRE Sonoma-Lake-Napa Unit,2013,Lake,2013-11-10 18:30:00+00:00,,38.882214,-122.567525,True,Cantwell Fire,285.0,2013-11-08 13:42:00+00:00,3.0,2.2,sonomalakenapa
116.0,CAL FIRE Amador-El Dorado Unit,2013,El Dorado,2013-08-16 17:55:00+00:00,,38.682378,-120.839075,True,Union Fire,,2013-08-16 13:55:00+00:00,,0.16666666666666666,amadoreldorado
110.0,San Bernardino National Forest,2013,San Bernardino,2013-08-18 20:55:00+00:00,,34.287,-117.451,False,Cleghorn Fire,,2013-08-17 17:25:00+00:00,,1.1458333333333333,sanbernardino
108.0,CAL FIRE/Fresno County Fire,2013,Fresno,2013-06-13 21:30:00+00:00,,36.772425,-119.628389,False,Clinton Fire,,2013-06-13 11:54:00+00:00,,0.4,fresno
105.0,CAL FIRE San Benito-Monterey Unit ,2013,Monterey,2013-06-29 18:30:00+00:00,,36.1531,-120.8973,False,Freeman Fire,,2013-06-29 14:09:00+00:00,,0.18125,sanbenitomonterey
100.0,CAL FIRE Tuolumne-Calaveras Unit,2013,Tuolumne,2013-06-02 16:55:00+00:00,,37.91529,-120.33313,False,Murphy Fire,,2013-06-02 13:30:00+00:00,,0.1423611111111111,tuolumneaveras
100.0,CAL FIRE San Diego Unit,2013,San Diego,2013-05-23 08:30:00+00:00,,32.564465,-116.900368,False,Border Fire,,2013-05-22 16:14:00+00:00,,0.6777777777777778,sandiego
98.0,CAL FIRE Mendocino Unit,2013,Mendocino,2013-09-29 18:15:00+00:00,,38.9252,-122.966,False,Highland Fire,,2013-09-28 13:57:00+00:00,,1.1791666666666667,mendocino
97.0,Modoc National Forest ,2013,Modoc,2013-09-24 20:15:00+00:00,,41.73325,-120.375,False,Davis Creek Complex,,2013-09-05 15:57:00+00:00,,19.179166666666667,modoc
97.0,San Bernardino National Forest,2013,San Bernardino,2013-08-30 08:00:00+00:00,,33.642,-116.706,False,Little Fire,,2013-08-24 15:09:00+00:00,,5.702083333333333,sanbernardino
97.0,CAL FIRE Lassen-Modoc Unit,2013,Lassen,2013-08-12 09:30:00+00:00,,40.88886,-120.958126,False,Coyote Fire,,2013-08-09 15:51:00+00:00,,2.7354166666666666,lassenmodoc
96.0,CAL FIRE Amador-El Dorado Unit,2013,Amador,2013-06-13 09:45:00+00:00,,38.27783,-120.966016,False,Roadrunner Fire,,2013-06-12 16:43:00+00:00,,0.7097222222222223,amadoreldorado
94.0,CAL FIRE San Luis Obispo Unit,2013,San Luis Obispo,2013-09-24 17:30:00+00:00,,35.4393,-120.8358,False,Creek Fire,,2013-09-24 03:20:00+00:00,,0.5902777777777778,sanluisobispo
92.0,CAL FIRE Butte Unit,2013,Butte,2013-08-04 14:45:00+00:00,,39.6612,-121.50354,True,Branch Fire,80.0,2013-08-01 16:01:00+00:00,3.0,2.9472222222222224,butte
91.0,CAL FIRE Madera-Mariposa-Merced Unit,2013,Madera,2013-05-20 19:10:00+00:00,,37.1927,-119.7917,True,Lilly 2 Fire,,2013-05-19 15:07:00+00:00,2.0,1.16875,maderamariposamerced
90.0,CAL FIRE/Riverside County Fire ,2013,Riverside,2013-05-21 19:30:00+00:00,,33.9582,-116.6534,False,Water Fire,,2013-05-21 14:16:00+00:00,,0.21805555555555556,riverside
85.0,CAL FIRE San Luis Obispo,2013,San Luis Obispo,2013-07-07 22:00:00+00:00,,35.62743,-120.83417,False,Adelaida Fire,,2013-07-07 13:16:00+00:00,,0.3638888888888889,sanluisobispo
82.0,CAL FIRE Mendocino Unit,2013,Mendocino,2013-11-22 17:30:00+00:00,,39.0442,-123.1478,False,Retek Fire,,2013-11-22 10:06:00+00:00,,0.30833333333333335,mendocino
80.0,CAL FIRE Butte Unit,2013,Butte,2013-09-01 18:00:00+00:00,,39.731878,-121.713938,True,Centerville Fire,35.0,2013-08-31 17:23:00+00:00,,1.0256944444444445,butte
75.0,San Bernardino County Fire,2013,San Bernardino,2013-07-26 18:15:00+00:00,,34.316,-117.352,False,Silverwood Fire,,2013-07-25 15:09:00+00:00,,1.1291666666666667,sanbernardino
